# s_m; t_s; f_x_fl_N; f_y_fl_N; f_z_fl_N; f_x_fr_N; f_y_fr_N; f_z_fr_N;f_x_rl_N; f_y_rl_N; f_z_rl_N; f_x_rr_N;f_y_rr_N; f_z_rr_N;
102.0; 2.920; -35.7; -3712.2; 4347.3; -35.7; -1565.4; 1659.0; 1262.0; -3955.3; 5133.4; 1262.0; -2094.3; 2445.2
105.0; 2.997; -35.7; -3707.3; 4339.3; -35.7; -1567.2; 1660.6; 1293.5; -3926.0; 5133.5; 1293.5; -2086.5; 2454.9
108.0; 3.072; -35.7; -3700.3; 4329.3; -35.7; -1569.1; 1662.8; 1331.2; -3890.0; 5133.3; 1331.2; -2076.9; 2466.9
111.0; 3.148; -35.7; -3693.1; 4319.7; -35.7; -1571.1; 1665.3; 1367.7; -3854.4; 5133.2; 1367.7; -2067.3; 2478.7
114.0; 3.223; -35.7; -3687.7; 4312.7; -35.7; -1572.9; 1667.4; 1395.5; -3827.0; 5133.4; 1395.5; -2060.0; 2488.2
117.0; 3.298; -35.7; -3685.6; 4309.9; -35.7; -1574.1; 1668.9; 1409.7; -3813.7; 5134.5; 1409.7; -2056.7; 2493.4
120.0; 3.373; -35.7; -3687.2; 4311.8; -35.7; -1574.7; 1669.4; 1408.8; -3816.0; 5136.4; 1408.8; -2058.0; 2494.0
123.0; 3.447; -35.7; -3691.9; 4317.5; -35.7; -1574.8; 1669.2; 1395.6; -3831.4; 5139.0; 1395.6; -2062.9; 2490.7
126.0; 3.521; -35.7; -3698.2; 4325.5; -35.7; -1574.5; 1668.6; 1374.8; -3854.5; 5141.8; 1374.8; -2070.0; 2485.0
129.0; 3.595; -35.7; -3704.9; 4333.9; -35.7; -1574.1; 1667.8; 1351.8; -3879.5; 5144.7; 1351.8; -2077.5; 2478.6
132.0; 3.669; -35.7; -3710.9; 4341.5; -35.7; -1573.7; 1667.2; 1331.2; -3901.8; 5147.2; 1331.2; -2084.0; 2472.9
135.0; 3.742; -35.7; -3715.3; 4347.3; -35.7; -1573.5; 1666.8; 1316.0; -3918.5; 5149.3; 1316.0; -2088.9; 2468.8
138.0; 3.816; -35.7; -3718.0; 4351.0; -35.7; -1573.6; 1666.8; 1307.9; -3928.0; 5151.1; 1307.9; -2091.7; 2467.0
141.0; 3.890; -35.7; -3718.7; 4352.3; -35.7; -1573.8; 1667.2; 1307.2; -3930.1; 5152.4; 1307.2; -2092.6; 2467.3
144.0; 3.963; -35.7; -3717.5; 4351.6; -35.7; -1574.2; 1668.0; 1313.5; -3925.4; 5153.4; 1313.5; -2091.6; 2469.8
147.0; 4.037; -35.7; -3714.5; 4349.2; -35.7; -1574.7; 1669.1; 1325.2; -3915.2; 5154.1; 1325.2; -2089.2; 2474.1
150.0; 4.112; -35.7; -3709.7; 4345.7; -35.7; -1575.1; 1670.5; 1340.3; -3901.6; 5154.6; 1340.3; -2086.1; 2479.5
153.0; 4.186; -35.7; -3702.7; 4341.6; -35.7; -1575.1; 1672.4; 1356.7; -3886.7; 5154.9; 1356.7; -2082.8; 2485.7
156.0; 4.260; -35.7; -3691.8; 4337.1; -35.7; -1574.0; 1674.8; 1372.9; -3871.9; 5154.8; 1372.9; -2080.1; 2492.4
159.0; 4.335; -35.7; -3672.9; 4331.6; -35.7; -1570.9; 1678.2; 1389.6; -3857.0; 5153.7; 1389.6; -2078.6; 2500.3
162.0; 4.410; -35.7; -3635.8; 4322.4; -35.7; -1563.3; 1684.2; 1411.8; -3837.2; 5150.4; 1411.8; -2077.9; 2512.2
165.0; 4.485; -35.7; -3557.2; 4302.6; -35.7; -1546.2; 1696.2; 1453.5; -3798.7; 5141.4; 1453.5; -2076.8; 2535.0
168.0; 4.560; -35.7; -3384.2; 4255.4; -35.7; -1507.0; 1722.5; 1549.4; -3706.5; 5118.9; 1549.4; -2070.3; 2585.9
171.0; 4.635; -36.2; -3000.3; 4139.3; -36.2; -1414.0; 1784.2; 1784.2; -3467.6; 5062.7; 1784.2; -2035.8; 2707.5
174.0; 4.710; -37.1; -2253.6; 3988.6; -37.1; -1240.9; 2039.6; 1384.5; -2869.8; 4810.8; 1384.5; -1842.2; 2861.8
